"","Vacancy","Value","Count"
887,"инженер системный администратор","полная занятость",2
2390,"инженер по обслуживанию систем безопасности","полная занятость",2
2418,"инженер технической поддержкиhelpdesk","полная занятость",2
2970,"smm менеджер в it компанию медиапорталы","полная занятость",2
2388,"ведущий программист разработчик sap","полная занятость",2
53,"веб аналитик","частичная занятость",2
1440,"начальник бюро внедрения 1с город улан удэ","полная занятость",2
57,"android разработчик kotlin","полная занятость",2
1847,"руководитель отдела информационных технологий","полная занятость",2
2421,"монтажник скс","полная занятость",2
3596,"торговый представитель","полная занятость",2
3702,"продавец консультант в офис продаж","полная занятость",2
2893,"упаковщик заказовсотрудник офиса","полная занятость",2
1441,"специалист технической поддержки со знанием румынского языка","полная занятость",2
3243,"начинающий специалист технической поддержки","полная занятость",2
3244,"оператор call центра без продаж","полная занятость",2
864,"программист 1с управление торговлей 8","частичная занятость",2
1854,"php программист backend разработчик","полная занятость",2
1856,"инженер технолог","полная занятость",2
66,"senior java разработчик","полная занятость",2
34,"специалист по тестированию","полная занятость",2
1832,"менеджер по продажам телекоммуникационного оборудования","полная занятость",2
4244,"специалист по материально техническому снабжению","полная занятость",2
30,"специалист по внедрению","полная занятость",2
3631,"менеджер по продажам it продуктов","полная занятость",2
964,"разработчик net c","полная занятость",2
1431,"младший веб программист","полная занятость",2
965,"менеджер по развитию бизнеса","полная занятость",2
966,"technical project manager","полная занятость",2
